Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
positive regulation of cellular process (GO:0048522)	47/625	0.000235726309598055	0.00924794558508468	47	0.0752	PRR7;DDX49;RTKN2;HILPDA;LEF1;KIF14;SCX;TGFA;TTK;MST1R;FOXM1;NCMAP;ESM1;EXOSC4;RAB25;ERBB3;EPCAM;MDK;PPP1R13L;NACC1;CHEK1;RPS6KA1;GCNT2;PRAME;ROMO1;PRSS2;SOX4;MFSD2A;TRPM4;EDN2;SPAG5;TNFRSF18;ABCA7;CDC7;CDC6;MT3;SAPCD2;FASN;FGF19;NOXA1;FGF18;BIRC5;PTPN6;P4HB;CALR;EPHA1;EZH2
regulation of exit from mitosis (GO:0007096)	8/39	0.000242645782147127	0.00940471664056995	8	0.205128205128205	CDC20;ANLN;UBE2C;UBE2S;CDCA5;BUB1B;NEK2;MAD2L1
establishment of spindle orientation (GO:0051294)	7/30	0.000255537671869955	0.00978648440959102	7	0.233333333333333	SAPCD2;PLK1;CENPA;MISP;NDC80;LLGL2;MAD2L1
vascular transport (GO:0010232)	12/84	0.000289348786188645	0.0109510005313985	12	0.142857142857143	ABCC3;SLC5A6;SLC7A5;ABCC1;TFRC;SLC2A1;SLC29A4;SLC7A1;SLC19A1;MFSD2A;SLC27A4;SLC29A2
regulation of cell cycle G2/M phase transition (GO:1902749)	12/85	0.000323702733607042	0.0121087406280681	12	0.141176470588235	PLK4;TPX2;CENPF;PLK1;KIF14;CDK1;NEK2;HMMR;TUBG1;GTSE1;MACROH2A1;AURKA
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	13/98	0.000346356047281902	0.0128072115414469	13	0.13265306122449	KIF23;CTSV;KIF11;KIF22;KIF15;CENPE;KIF18A;RACGAP1;KIF4A;AP2S1;KIF2C;AP1M2;SPTBN2
mitotic cell cycle checkpoint signaling (GO:0007093)	6/23	0.000371228590454848	0.0135709360851505	6	0.260869565217391	CHEK1;CHMP4C;BUB1B;BUB1;AURKB;ZWINT
cellular response to DNA damage stimulus (GO:0006974)	30/350	0.000382175754942587	0.0138139546114204	30	0.0857142857142857	H2AX;TOP2A;FEN1;MCM7;MCM10;RECQL4;RAD51AP1;EXO1;CHEK2;POLD1;CHEK1;PCLAF;E2F1;RAD54L;SFN;MAP2K6;VAV3;RMI2;DDX11;XRCC2;FANCA;TRAIP;TICRR;RAD51;UBE2T;TIMELESS;CDK1;IRF7;HROB;DTL
cell cycle G1/S phase transition (GO:0044843)	10/63	0.000386464381419906	0.0138139546114204	10	0.158730158730159	CCNA2;CCNE1;CDKN2A;E2F1;EIF4EBP1;RCC1;E2F3;CDC7;CDC25A;CDKN3
regulation of cellular component organization (GO:0051128)	16/139	0.000397197932193887	0.0140416016249202	16	0.115107913669065	TFRC;HJURP;KIF14;HIP1R;TMEM97;MKI67;ATAD3A;ERMN;AURKA;CAMSAP3;MAD2L2;CEACAM1;AP2S1;LAMTOR2;RAB17;PACSIN1
antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	13/100	0.000422910578540371	0.0147880796865693	13	0.13	KIF23;CTSV;KIF11;KIF22;KIF15;CENPE;KIF18A;RACGAP1;KIF4A;AP2S1;KIF2C;AP1M2;SPTBN2
bicellular tight junction assembly (GO:0070830)	9/53	0.000448959366902097	0.0154918338376931	9	0.169811320754717	CLDN4;CLDN3;MARVELD2;CLDN7;MARVELD3;F11R;ECT2;GRHL2;CRB3
regulation of cell division (GO:0051302)	11/76	0.000457076038910851	0.0154918338376931	11	0.144736842105263	PLK4;ORC6;KIF18B;KDF1;PLK1;CDK2AP2;SFN;KIF20A;AURKB;RAB11FIP4;AURKA
mitotic sister chromatid cohesion (GO:0007064)	5/16	0.000467174337804688	0.0154918338376931	5	0.3125	SGO1;CDCA5;DSCC1;HASPIN;REC8
canonical glycolysis (GO:0061621)	6/24	0.000476745896777002	0.0154918338376931	6	0.25	GPI;TPI1;PKM;ENO1;GAPDH;HK2
establishment of mitotic spindle orientation (GO:0000132)	6/24	0.000476745896777002	0.0154918338376931	6	0.25	SAPCD2;PLK1;CENPA;MISP;NDC80;MAD2L1
glucose catabolic process to pyruvate (GO:0061718)	6/24	0.000476745896777002	0.0154918338376931	6	0.25	GPI;TPI1;PKM;ENO1;GAPDH;HK2
inner ear morphogenesis (GO:0042472)	6/24	0.000476745896777002	0.0154918338376931	6	0.25	TFAP2A;PAX8;MYO6;ZIC1;SIX1;TBX18
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	8/43	0.000489823677491695	0.0157576277049078	8	0.186046511627907	PCNA;RAD51;CENPX;POLD1;DDX11;TONSL;TIMELESS;TRAIP
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	13/103	0.00056440938507155	0.0179772771462889	13	0.12621359223301	KIF23;CTSV;KIF11;KIF22;KIF15;CENPE;KIF18A;RACGAP1;KIF4A;AP2S1;KIF2C;AP1M2;SPTBN2
hexose biosynthetic process (GO:0019319)	8/44	0.000575962574212472	0.0181654078553091	8	0.181818181818182	SLC25A1;GPI;TPI1;SORD;SLC25A10;ENO1;GAPDH;PCK2
interstrand cross-link repair (GO:0036297)	9/55	0.000595719710158832	0.0183374939709903	9	0.163636363636364	RAD51AP1;FANCI;NEIL3;RAD51;CENPX;FANCD2;UBE2T;FANCA;HROB
pyruvate metabolic process (GO:0006090)	9/55	0.000595719710158832	0.0183374939709903	9	0.163636363636364	GPI;LDHA;TPI1;PKM;ENO1;SLC16A3;GAPDH;HK2;PCK2
glycolytic process through glucose-6-phosphate (GO:0061620)	6/25	0.000604219571316435	0.0183374939709903	6	0.24	GPI;TPI1;PKM;ENO1;GAPDH;HK2
regulation of cardiac muscle cell action potential (GO:0098901)	6/25	0.000604219571316435	0.0183374939709903	6	0.24	DSP;CXADR;DSG2;TBX18;DSC2;TRPM4
mitotic DNA replication (GO:1902969)	4/10	0.000623664834692476	0.0184066951670247	4	0.4	GINS1;CDC45;MCM4;MCM2
mitotic DNA replication checkpoint signaling (GO:0033314)	4/10	0.000623664834692476	0.0184066951670247	4	0.4	ORC1;CDC6;CLSPN;TICRR
positive regulation of epidermis development (GO:0045684)	4/10	0.000623664834692476	0.0184066951670247	4	0.4	SULT2B1;KDF1;TMEM79;SFN
positive regulation of multicellular organismal process (GO:0051240)	29/345	0.000649632134939735	0.0189987870736466	29	0.0840579710144927	MESP1;TFRC;HILPDA;LEF1;SCX;PLA2G3;SIX1;ENO1;MACROH2A1;AGPAT2;SIX4;MDK;UCP2;GCNT2;ZBTB7B;TRPM4;DIO2;ABCA7;VAMP8;MAD2L2;PAX8;FABP5;SCD;MFAP2;GNAS;F2RL1;GAPDH;EZH2;FOXA2
mitotic G2/M transition checkpoint (GO:0044818)	8/45	0.000673937481738308	0.019532043952722	8	0.177777777777778	ORC1;CHEK1;PLK1;CDK1;CLSPN;CDC6;DTL;TICRR
regulation of mitotic nuclear division (GO:0007088)	9/57	0.000779560530902003	0.02199441633011	9	0.157894736842105	CCNB1;CHEK1;RCC1;TGFA;NEK2;MKI67;CDC25C;PKMYT1;AURKA
